债券代码,0
7103,30
38006,30
58035,61
68026,52
68039,49
78009,106
78010,100
78019,43
78031,103
78037,160
78057,93
78065,61
78070,21
78071,100
78075,71
88002,91
88017,36
111068,25
111069,56
111071,44
111075,35
111076,35
111078,33
111083,30
112010,56
112016,25
112017,56
112023,20
112024,34
112028,59
112035,57
112044,72
112046,57
112049,51
112064,48
112070,75
112071,47
112078,59
112081,58
112089,52
112097,21
112098,59
112101,44
112104,34
112106,57
112109,36
112112,57
112120,27
112134,26
112139,47
112141,39
112142,66
112150,34
112155,39
112157,54
112161,42
112168,31
112173,22
112214,23
112223,33
112226,43
112233,49
112239,20
112253,59
112257,47
112258,59
112259,58
112261,44
112272,54
112288,37
112290,37
112301,71
112325,56
112367,31
112370,54
112371,35
112373,39
112379,31
112380,40
112381,35
112389,33
112401,45
112407,49
112408,52
112410,43
112412,27
112414,34
112418,57
112426,56
112427,58
112433,27
112437,27
112438,34
112449,28
112451,43
112453,33
112460,29
112463,38
112464,55
112465,53
112468,42
112473,44
112476,55
112483,57
112491,54
112502,57
112507,22
112512,56
112522,47
112530,53
112536,22
112548,49
112550,33
112555,50
112557,52
112558,47
112560,36
112568,33
112569,32
112573,43
112581,34
112607,50
112612,49
112619,48
112620,49
112622,24
112623,37
112628,35
112637,38
112638,46
112645,30
112646,37
112653,30
112658,39
112660,29
112661,34
112667,28
112668,27
112681,30
112684,43
112712,25
112721,36
112735,34
112741,27
112752,28
112757,26
112791,38
112792,23
112799,31
112800,31
112811,36
112817,35
112818,35
112824,22
112825,36
112826,23
112842,24
112854,29
112861,29
112883,21
112894,24
112899,32
112903,32
112908,31
112912,31
112914,22
112918,23
112924,30
112934,30
112946,29
112975,22
112977,27
112997,26
112999,26
120102,61
120201,123
120303,124
120483,64
120521,42
122007,83
122010,35
122014,57
122017,88
122019,26
122023,60
122024,53
122026,56
122027,81
122028,94
122029,58
122036,60
122040,53
122043,95
122055,102
122058,57
122062,84
122065,56
122066,102
122067,77
122070,58
122072,57
122074,38
122076,26
122078,58
122079,56
122088,55
122094,57
122113,53
122114,20
122118,65
122119,52
122122,34
122127,82
122130,28
122133,64
122134,84
122136,57
122139,45
122144,52
122150,114
122151,57
122152,80
122155,58
122165,34
122166,59
122167,57
122168,110
122169,46
122172,107
122174,56
122175,56
122187,81
122192,85
122193,30
122194,47
122196,104
122200,59
122201,78
122203,106
122205,57
122210,95
122211,108
122218,103
122223,20
122224,31
122226,40
122240,105
122241,99
122243,49
122244,104
122245,27
122249,104
122252,77
122255,103
122256,36
122263,42
122269,98
122271,55
122272,94
122289,36
122294,45
122295,59
122297,23
122301,20
122306,45
122316,69
122317,86
122318,51
122323,46
122324,33
122328,69
122332,39
122334,82
122335,59
122338,85
122340,36
122347,45
122349,48
122351,78
122358,59
122365,68
122378,42
122381,55
122402,75
122425,47
122426,54
122427,56
122431,59
122435,56
122479,39
122480,39
122488,74
122491,49
122493,55
122494,72
122495,37
123003,42
123008,21
127616,37
136002,74
136004,44
136016,27
136076,47
136081,58
136087,59
136088,68
136092,44
136104,56
136106,71
136110,58
136151,55
136152,67
136165,71
136167,70
136184,56
136200,66
136205,56
136206,54
136233,47
136234,69
136236,59
136251,39
136254,69
